129|4|19|"Аптечный пункт №5 ТОВ Пассат ЛТД"|ФАРМАСЕЛ|36705378|2101|2021-04-29|2525.04|165.19|2021-05-29||3|
128|4|19|"Аптечный пункт №5 ТОВ Пассат ЛТД"|ФАРМАСЕЛ|36705378|2101|2021-04-29|2525.04|165.19|2021-05-29||3|
127|4|19|"Аптечный пункт №5 ТОВ Пассат ЛТД"|Фармако|20037376|2101|2021-04-29|2525.04|165.19|2021-05-29||3|
122|4|10|"Аптека №09 ТОВ Пассат ЛТД"|Оптима-фарм|21642228|32641079|2021-04-29|5024.51|328.71|2021-05-27|"хлоропирамина г/хл- 85,00"|3|
121|4|10|"Аптека №09 ТОВ Пассат ЛТД"|Оптима-фарм|21642228|32641079|2021-04-29|5024.51|328.71|2021-05-27|"хлоропирамина г/хл- 85,00"|3|
120|4|10|"Аптека №09 ТОВ Пассат ЛТД"|Оптима-фарм|21642228|32641080|2021-04-29|544.98|90.83|2021-05-27||3|
118|4|41|"Аптечный пункт №8 ТОВ Пассат ЛТД"|БаДМ|31816235|80810095-2|2021-04-28|11767.35|769.83|2021-05-24||3|
117|4|41|"Аптечный пункт №8 ТОВ Пассат ЛТД"|БаДМ|31816235|80810095-1|2021-04-28|110.24|7.21|2021-06-28||3|
116|4|20|"Аптечный пункт №6 ТОВ Пассат ЛТД"|БаДМ|31816235|80788880-2|2021-04-28|772.90|50.56|2021-05-24||3|
115|4|20|"Аптечный пункт №6 ТОВ Пассат ЛТД"|БаДМ|31816235|80788880-1|2021-04-28|515.86|85.98|2021-05-24||3|
114|4|18|"Аптечный пункт №4 ТОВ Пассат ЛТД"|"Статус Трейд"|19466126|547|2021-04-28|1048.74|174.79|2021-05-28||3|
113|4|12|"Аптека №11 ТОВ Пассат ЛТД"|Фармаско|32208905|768649/4|2021-04-28|964.02|0.00|2021-05-13||3|
112|4|19|"Аптечный пункт №5 ТОВ Пассат ЛТД"|АНВИРА|37579337|3239|2021-04-28|141.56|9.26|2021-04-17||3|
111|4|12|"Аптека №11 ТОВ Пассат ЛТД"|"ОЛВИЯ ФАРМ"|39264327|1304|2021-04-27|1027.20|67.20|2021-05-27||3|
110|4|5|"Аптека №04 ТОВ Пассат ЛТД"|Оптима-фарм|21642228|32642441|2021-04-29|2062.36|343.73|2021-05-27||3|
109|4|5|"Аптека №04 ТОВ Пассат ЛТД"|Оптима-фарм|21642228|32642440|2021-04-29|17408.60|1138.88|2021-05-27||3|
